"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 14 21:06:58 CST 2022","Mon Feb 14 21:07:21 CST 2022","23341","","test_001_checkPrivacyPolicy","TestPrivacyPolicy","","","test_disagreePrivacyPolicy",""
"passed","Mon Feb 14 21:06:45 CST 2022","Mon Feb 14 21:06:53 CST 2022","8594","","test_001_checkPrivacyPolicy","TestPrivacyPolicy","","","test_agreePrivacyPolicy",""
