"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","首次进入app","一直点击不同意退出app","0","0","1","0","0"
"","首次进入app","一直点击同意进入登陆首页","0","0","1","0","0"
